"STATISTIC","Statistic Label","TLIST(W1)","Week","C02875V03459","Vehicle Type","UNIT","VALUE"
"TII02C01","Average Traffic Volume","2023M01D02","2023 January 02","-1","All cars","Number","13662"
"TII02C01","Average Traffic Volume","2023M01D02","2023 January 02","22","Heavy goods vehicle","Number","938"
"TII02C01","Average Traffic Volume","2023M01D02","2023 January 02","21","Light goods vehicle","Number","1949"
"TII02C01","Average Traffic Volume","2023M01D02","2023 January 02","-2","All buses","Number","104"
"TII02C01","Average Traffic Volume","2023M01D02","2023 January 02","80","Other vehicles","Number","111"
"TII02C01","Average Traffic Volume","2023M01D09","2023 January 09","-1","All cars","Number","14589"
"TII02C01","Average Traffic Volume","2023M01D09","2023 January 09","22","Heavy goods vehicle","Number","1193"
"TII02C01","Average Traffic Volume","2023M01D09","2023 January 09","21","Light goods vehicle","Number","2367"
"TII02C01","Average Traffic Volume","2023M01D09","2023 January 09","-2","All buses","Number","120"
"TII02C01","Average Traffic Volume","2023M01D09","2023 January 09","80","Other vehicles","Number","130"
"TII02C01","Average Traffic Volume","2023M01D16","2023 January 16","-1","All cars","Number","14875"
"TII02C01","Average Traffic Volume","2023M01D16","2023 January 16","22","Heavy goods vehicle","Number","1246"
"TII02C01","Average Traffic Volume","2023M01D16","2023 January 16","21","Light goods vehicle","Number","2386"
"TII02C01","Average Traffic Volume","2023M01D16","2023 January 16","-2","All buses","Number","121"
"TII02C01","Average Traffic Volume","2023M01D16","2023 January 16","80","Other vehicles","Number","133"
"TII02C01","Average Traffic Volume","2023M01D23","2023 January 23","-1","All cars","Number","15324"
"TII02C01","Average Traffic Volume","2023M01D23","2023 January 23","22","Heavy goods vehicle","Number","1263"
"TII02C01","Average Traffic Volume","2023M01D23","2023 January 23","21","Light goods vehicle","Number","2423"
"TII02C01","Average Traffic Volume","2023M01D23","2023 January 23","-2","All buses","Number","126"
"TII02C01","Average Traffic Volume","2023M01D23","2023 January 23","80","Other vehicles","Number","148"
"TII02C01","Average Traffic Volume","2023M01D30","2023 January 30","-1","All cars","Number","15468"
"TII02C01","Average Traffic Volume","2023M01D30","2023 January 30","22","Heavy goods vehicle","Number","1289"
"TII02C01","Average Traffic Volume","2023M01D30","2023 January 30","21","Light goods vehicle","Number","2448"
"TII02C01","Average Traffic Volume","2023M01D30","2023 January 30","-2","All buses","Number","128"
"TII02C01","Average Traffic Volume","2023M01D30","2023 January 30","80","Other vehicles","Number","152"
"TII02C01","Average Traffic Volume","2023M02D06","2023 February 06","-1","All cars","Number","15245"
"TII02C01","Average Traffic Volume","2023M02D06","2023 February 06","22","Heavy goods vehicle","Number","1176"
"TII02C01","Average Traffic Volume","2023M02D06","2023 February 06","21","Light goods vehicle","Number","2278"
